Geographic Area Name,IsGentrified?
"Adjuntas Municipio, Puerto Rico",-1
"Aguada Municipio, Puerto Rico",-1
"Aguadilla Municipio, Puerto Rico",1
"Aguas Buenas Municipio, Puerto Rico",-1
"Aibonito Municipio, Puerto Rico",-1
"Añasco Municipio, Puerto Rico",-1
"Arecibo Municipio, Puerto Rico",-1
"Arroyo Municipio, Puerto Rico",-1
"Barceloneta Municipio, Puerto Rico",-1
"Barranquitas Municipio, Puerto Rico",-1
"Bayamón Municipio, Puerto Rico",-1
"Cabo Rojo Municipio, Puerto Rico",-1
"Caguas Municipio, Puerto Rico",-1
"Camuy Municipio, Puerto Rico",-1
"Canóvanas Municipio, Puerto Rico",-1
"Carolina Municipio, Puerto Rico",-1
"Cataño Municipio, Puerto Rico",-1
"Cayey Municipio, Puerto Rico",-1
"Ceiba Municipio, Puerto Rico",1
"Ciales Municipio, Puerto Rico",-1
"Cidra Municipio, Puerto Rico",-1
"Coamo Municipio, Puerto Rico",-1
"Comerío Municipio, Puerto Rico",-1
"Corozal Municipio, Puerto Rico",-1
"Culebra Municipio, Puerto Rico",1
"Dorado Municipio, Puerto Rico",1
"Fajardo Municipio, Puerto Rico",-1
"Florida Municipio, Puerto Rico",-1
"Guánica Municipio, Puerto Rico",-1
"Guayama Municipio, Puerto Rico",-1
"Guayanilla Municipio, Puerto Rico",-1
"Guaynabo Municipio, Puerto Rico",-1
"Gurabo Municipio, Puerto Rico",0
"Hatillo Municipio, Puerto Rico",-1
"Hormigueros Municipio, Puerto Rico",-1
"Humacao Municipio, Puerto Rico",-1
"Isabela Municipio, Puerto Rico",-1
"Jayuya Municipio, Puerto Rico",-1
"Juana Díaz Municipio, Puerto Rico",-1
"Juncos Municipio, Puerto Rico",-1
"Lajas Municipio, Puerto Rico",-1
"Lares Municipio, Puerto Rico",-1
"Las Marías Municipio, Puerto Rico",-1
"Las Piedras Municipio, Puerto Rico",-1
"Loíza Municipio, Puerto Rico",-1
"Luquillo Municipio, Puerto Rico",-1
"Manatí Municipio, Puerto Rico",-1
"Maricao Municipio, Puerto Rico",-1
"Maunabo Municipio, Puerto Rico",-1
"Mayagüez Municipio, Puerto Rico",-1
"Moca Municipio, Puerto Rico",-1
"Morovis Municipio, Puerto Rico",-1
"Naguabo Municipio, Puerto Rico",-1
"Naranjito Municipio, Puerto Rico",-1
"Orocovis Municipio, Puerto Rico",-1
"Patillas Municipio, Puerto Rico",-1
"Peñuelas Municipio, Puerto Rico",-1
"Ponce Municipio, Puerto Rico",-1
"Quebradillas Municipio, Puerto Rico",-1
"Rincón Municipio, Puerto Rico",1
"Río Grande Municipio, Puerto Rico",-1
"Sabana Grande Municipio, Puerto Rico",-1
"Salinas Municipio, Puerto Rico",-1
"San Germán Municipio, Puerto Rico",-1
"San Juan Municipio, Puerto Rico",1
"San Lorenzo Municipio, Puerto Rico",-1
"San Sebastián Municipio, Puerto Rico",-1
"Santa Isabel Municipio, Puerto Rico",-1
"Toa Alta Municipio, Puerto Rico",0
"Toa Baja Municipio, Puerto Rico",-1
"Trujillo Alto Municipio, Puerto Rico",0
"Utuado Municipio, Puerto Rico",-1
"Vega Alta Municipio, Puerto Rico",-1
"Vega Baja Municipio, Puerto Rico",-1
"Vieques Municipio, Puerto Rico",1
"Villalba Municipio, Puerto Rico",-1
"Yabucoa Municipio, Puerto Rico",-1
"Yauco Municipio, Puerto Rico",-1